from_id,to_id,Spend,Quantity
CUST0000696851,PRD0904213,0.93,1
CUST0000696851,PRD0904409,1.21,1
CUST0000779812,PRD0904688,1.6,1
CUST0000696851,PRD0904753,2.45,1
CUST0000696851,PRD0901804,0.82,1
CUST0000696851,PRD0904680,1.78,1
CUST0000643107,PRD0904058,0.56,1
CUST0000484388,PRD0900218,0.61,1
CUST0000484388,PRD0900296,8.28,9
CUST0000484388,PRD0900296,8.28,9
CUST0000484388,PRD0900296,8.28,9
CUST0000484388,PRD0900981,0.33,1
CUST0000484388,PRD0901282,1.99,1
CUST0000484388,PRD0901778,1.53,1
CUST0000484388,PRD0902480,0.74,1
CUST0000484388,PRD0902585,0.79,1
CUST0000484388,PRD0902601,0.3,1
CUST0000484388,PRD0902942,1.23,1
CUST0000484388,PRD0903499,1.09,1
CUST0000484388,PRD0903545,2.18,1
CUST0000484388,PRD0903567,0.65,1
CUST0000484388,PRD0903788,4.5,6
CUST0000484388,PRD0903788,4.5,6
CUST0000484388,PRD0904281,1.86,2
CUST0000484388,PRD0904281,1.86,2
CUST0000958935,PRD0900005,1.01,1
CUST0000877775,PRD0900021,1.48,1
CUST0000629728,PRD0900080,0.79,1
CUST0000811618,PRD0900118,0.89,1
CUST0000958935,PRD0900121,2.94,3
CUST0000629728,PRD0900159,5.49,3
CUST0000811618,PRD0900254,2.55,3
CUST0000629728,PRD0900283,1.65,1
CUST0000121259,PRD0900302,0.47,1
CUST0000121259,PRD0900391,1.26,1
CUST0000958935,PRD0900462,2.23,1
CUST0000629728,PRD0900462,2.23,1
CUST0000877775,PRD0900466,0.7,1
CUST0000811618,PRD0900481,1.19,1
CUST0000629728,PRD0900531,1.31,1
CUST0000811618,PRD0900739,0.87,1
CUST0000629728,PRD0900830,0.97,1
CUST0000811618,PRD0900944,1.53,3
CUST0000629728,PRD0900973,1.73,1
CUST0000629728,PRD0901026,1.46,1
CUST0000811618,PRD0901092,2.61,1
CUST0000121259,PRD0901135,1.03,1
CUST0000121259,PRD0901192,0.32,1
CUST0000877775,PRD0901265,1.64,1
CUST0000877775,PRD0901421,1.79,1
CUST0000121259,PRD0901464,2.17,1
CUST0000958935,PRD0901536,9.33,3
CUST0000629728,PRD0901617,1.7,1
CUST0000811618,PRD0901627,1.92,3
CUST0000629728,PRD0901744,2.04,3
CUST0000958935,PRD0901780,0.93,1
CUST0000877775,PRD0901839,1.73,1
CUST0000811618,PRD0901845,1.53,1
CUST0000958935,PRD0901850,0.88,1
CUST0000629728,PRD0901858,0.87,1
CUST0000629728,PRD0902058,0.69,3
CUST0000958935,PRD0902091,2.11,1
CUST0000629728,PRD0902164,2.24,1
CUST0000121259,PRD0902233,0.7,1
CUST0000121259,PRD0902307,0.21,1
CUST0000121259,PRD0902310,0.46,1
CUST0000629728,PRD0902350,1.54,1
CUST0000958935,PRD0902388,5.58,3
CUST0000958935,PRD0902453,0.28,1
CUST0000877775,PRD0902540,1.11,1
CUST0000958935,PRD0902599,1.31,1
CUST0000629728,PRD0902610,1.27,1
CUST0000629728,PRD0902618,0.62,1
CUST0000121259,PRD0902634,0.45,1
CUST0000141657,PRD0902642,0.21,1
CUST0000958935,PRD0902690,2.44,1
CUST0000877775,PRD0902801,13.08,3
CUST0000958935,PRD0902912,1.07,1
CUST0000958935,PRD0902963,0.5,1
CUST0000121259,PRD0903052,0.44,1
CUST0000141657,PRD0903052,0.57,1
CUST0000958935,PRD0903052,0.6,1
CUST0000141657,PRD0903138,0.93,3
CUST0000877775,PRD0903143,3.27,1
CUST0000629728,PRD0903186,1.38,1
CUST0000141657,PRD0903228,0.89,1
CUST0000958935,PRD0903228,0.89,1
CUST0000629728,PRD0903257,2.66,1
CUST0000958935,PRD0903376,2.99,1
CUST0000877775,PRD0903378,1.7,1
CUST0000629728,PRD0903395,1.14,1
CUST0000627983,PRD0903457,0.79,1
CUST0000877775,PRD0903483,3.01,1
CUST0000811618,PRD0903497,1.28,1
CUST0000811618,PRD0903571,1.63,1
CUST0000811618,PRD0903620,0.47,1
CUST0000629728,PRD0903753,1.2,3
CUST0000121259,PRD0903839,1.34,1
CUST0000629728,PRD0903869,0.53,1
CUST0000121259,PRD0903873,0.35,1
CUST0000629728,PRD0903938,2.52,3
CUST0000629728,PRD0904023,4.65,3
CUST0000629728,PRD0904119,3.09,3
CUST0000121259,PRD0904125,0.43,1
CUST0000629728,PRD0904262,1.42,1
CUST0000685886,PRD0904328,8.55,3
CUST0000877775,PRD0904371,1.77,3
CUST0000958935,PRD0904487,1.17,1
CUST0000958935,PRD0904528,2.21,1
CUST0000958935,PRD0904567,1.68,1
CUST0000958935,PRD0904722,1.6,1
CUST0000627983,PRD0904780,1.67,1
CUST0000629728,PRD0904832,0.87,1
CUST0000811618,PRD0904887,1.02,1
CUST0000877775,PRD0904953,2.14,1
CUST0000141657,PRD0904962,2.09,1
CUST0000811618,PRD0904976,1.49,1
CUST0000958935,PRD0903318,0.85,1
CUST0000141657,PRD0902251,1.07,1
CUST0000958935,PRD0901888,3.1,1
CUST0000811618,PRD0903371,2.2,1
CUST0000141657,PRD0903943,3.93,3
CUST0000414452,PRD0900400,0.88,1
CUST0000142549,PRD0900633,1.85,1
CUST0000503754,PRD0900742,0.3,1
CUST0000414452,PRD0902618,1.86,3
CUST0000142549,PRD0902703,2.88,1
CUST0000618910,PRD0903110,0.43,1
CUST0000310844,PRD0904123,1.64,4
CUST0000828166,PRD0904358,1.54,1
CUST0000142549,PRD0904457,7.07,1
CUST0000503754,PRD0904635,0.43,1
CUST0000414452,PRD0900616,2.09,1
CUST0000503754,PRD0901662,2.63,1
CUST0000142549,PRD0904497,0.03,3
CUST0000244450,PRD0901311,1.26,6
CUST0000180023,PRD0900040,1.38,1
CUST0000091271,PRD0900097,1.03,1
CUST0000091271,PRD0900121,0.98,1
CUST0000794797,PRD0900121,0.98,1
CUST0000091271,PRD0900129,6.62,1
CUST0000180023,PRD0900138,1.19,1
CUST0000708813,PRD0900185,0.81,1
CUST0000180023,PRD0900223,0.74,1
CUST0000898233,PRD0900302,0.82,1
CUST0000091271,PRD0900338,2.37,1
CUST0000463469,PRD0900434,1.74,1
CUST0000091271,PRD0900440,1.86,1
CUST0000091271,PRD0900614,1.09,1
CUST0000091271,PRD0900652,2.31,1
CUST0000708813,PRD0900668,0.16,4
CUST0000091271,PRD0900672,0.28,1
CUST0000708813,PRD0900679,6.86,1
CUST0000091271,PRD0900830,0.97,1
CUST0000180023,PRD0900831,0.53,1
CUST0000180023,PRD0900985,0.75,3
CUST0000091271,PRD0901114,0.19,1
CUST0000708813,PRD0901143,3.1,1
CUST0000091271,PRD0901182,0.7,1
CUST0000091271,PRD0901617,1.7,1
CUST0000091271,PRD0901627,0.64,1
CUST0000091271,PRD0901684,1.37,1
CUST0000898233,PRD0901692,3.31,1
CUST0000708813,PRD0901744,2.72,4
CUST0000091271,PRD0901799,2.24,1
CUST0000091271,PRD0901880,3.66,3
CUST0000898233,PRD0902005,0.51,1
CUST0000091271,PRD0902029,1.0,1
CUST0000091271,PRD0902170,4.85,1
CUST0000091271,PRD0902242,0.83,1
CUST0000794797,PRD0902322,0.31,1
CUST0000091271,PRD0902640,2.54,2
CUST0000091271,PRD0902640,2.54,2
CUST0000091271,PRD0902656,2.42,1
CUST0000091271,PRD0902708,0.53,1
CUST0000898233,PRD0902804,0.57,1
CUST0000463469,PRD0902819,0.92,1
CUST0000091271,PRD0902873,0.3,3
CUST0000708813,PRD0902877,0.96,3
CUST0000091271,PRD0902882,2.51,1
CUST0000463469,PRD0903033,1.35,1
CUST0000708813,PRD0903033,4.05,3
CUST0000091271,PRD0903052,0.28,1
CUST0000898233,PRD0903060,0.29,1
CUST0000794797,PRD0903101,0.97,1
CUST0000091271,PRD0903141,7.53,3
CUST0000180023,PRD0903155,1.0,1
CUST0000794797,PRD0903269,0.91,1
CUST0000180023,PRD0903283,0.49,1
CUST0000708813,PRD0903291,0.72,1
CUST0000898233,PRD0903409,1.92,3
CUST0000708813,PRD0903417,1.25,1
CUST0000180023,PRD0903444,2.11,1
CUST0000180023,PRD0903489,3.13,1
CUST0000463469,PRD0903525,1.8,1
CUST0000091271,PRD0903563,0.57,1
CUST0000091271,PRD0903587,1.46,1
CUST0000708813,PRD0903590,1.71,3
CUST0000463469,PRD0903615,9.48,1
CUST0000463469,PRD0903662,10.32,4
CUST0000091271,PRD0903742,0.72,1
CUST0000091271,PRD0903774,2.14,1
CUST0000091271,PRD0903793,2.91,3
CUST0000180023,PRD0903955,0.95,1
CUST0000091271,PRD0904078,1.45,1
CUST0000091271,PRD0904156,0.54,1
CUST0000091271,PRD0904236,0.53,1
CUST0000708813,PRD0904261,4.77,1
CUST0000091271,PRD0904321,0.83,1
CUST0000091271,PRD0904328,8.55,3
CUST0000180023,PRD0904355,2.46,3
CUST0000091271,PRD0904358,12.32,8
CUST0000091271,PRD0904358,12.32,8
CUST0000463469,PRD0904358,10.780000000000001,7
CUST0000463469,PRD0904358,10.780000000000001,7
CUST0000463469,PRD0904358,10.780000000000001,7
CUST0000794797,PRD0904358,1.54,1
CUST0000091271,PRD0904371,0.59,1
CUST0000091271,PRD0904441,2.0,5
CUST0000708813,PRD0904441,6.8,17
CUST0000180023,PRD0904447,1.24,1
CUST0000180023,PRD0904489,0.37,1
CUST0000708813,PRD0904604,1.02,3
CUST0000708813,PRD0904693,3.03,3
CUST0000091271,PRD0904696,1.68,1
CUST0000091271,PRD0904876,2.61,3
CUST0000708813,PRD0904887,3.06,3
CUST0000463469,PRD0904920,5.13,3
CUST0000091271,PRD0903654,3.57,3
CUST0000091271,PRD0902679,0.47,1
CUST0000091271,PRD0902296,2.14,2
CUST0000091271,PRD0902296,2.14,2
CUST0000091271,PRD0902626,0.86,1
CUST0000923551,PRD0900672,0.28,1
CUST0000923551,PRD0900699,1.14,1
CUST0000923551,PRD0901093,0.31,1
CUST0000923551,PRD0901134,2.43,3
CUST0000923551,PRD0901394,1.65,3
CUST0000923551,PRD0901620,0.42,1
CUST0000923551,PRD0901940,5.37,3
CUST0000923551,PRD0902242,0.83,1
CUST0000923551,PRD0902602,4.4,1
CUST0000923551,PRD0902980,1.29,3
CUST0000923551,PRD0903081,5.43,3
CUST0000923551,PRD0903596,1.44,1
CUST0000923551,PRD0903599,3.24,2
CUST0000923551,PRD0903599,3.24,2
CUST0000923551,PRD0903938,4.2,5
CUST0000923551,PRD0904213,3.72,4
CUST0000923551,PRD0904962,2.09,1
CUST0000923551,PRD0900266,5.37,3
CUST0000923551,PRD0903880,14.28,6
CUST0000923551,PRD0903880,14.28,6
CUST0000251863,PRD0900684,0.28,1
CUST0000251863,PRD0901003,2.91,3
CUST0000251863,PRD0902406,2.58,3
CUST0000251863,PRD0902700,0.97,1
CUST0000251863,PRD0902890,1.23,1
CUST0000251863,PRD0902980,2.58,6
CUST0000251863,PRD0903052,0.65,1
CUST0000251863,PRD0903377,11.31,3
CUST0000251863,PRD0904358,7.7,5
CUST0000172994,PRD0900092,0.5,1
CUST0000421869,PRD0901815,5.49,1
CUST0000172994,PRD0902049,0.25,1
CUST0000421869,PRD0902976,1.58,1
CUST0000421869,PRD0903560,1.41,1
CUST0000176102,PRD0900302,0.62,1
CUST0000804925,PRD0900342,2.15,1
CUST0000176102,PRD0900785,1.6,1
CUST0000176102,PRD0900935,0.35,1
CUST0000176102,PRD0901394,1.65,3
CUST0000176102,PRD0901672,0.53,1
CUST0000176102,PRD0901941,2.24,1
CUST0000804925,PRD0903052,0.53,2
CUST0000804925,PRD0903052,0.53,2
CUST0000176102,PRD0903313,4.41,1
CUST0000176102,PRD0903697,2.91,3
CUST0000092839,PRD0900173,1.71,1
CUST0000025448,PRD0900372,2.28,3
CUST0000025448,PRD0900699,1.14,1
CUST0000025448,PRD0900796,0.39,3
CUST0000767888,PRD0900927,1.56,1
CUST0000767888,PRD0900947,1.19,1
CUST0000025448,PRD0901005,4.95,3
CUST0000258555,PRD0901013,2.8,2
CUST0000767888,PRD0901256,2.26,1
CUST0000025448,PRD0901383,0.4,1
CUST0000025448,PRD0901421,1.73,1
CUST0000025448,PRD0901775,3.3,3
CUST0000767888,PRD0901925,1.24,1
CUST0000258555,PRD0902036,0.54,1
CUST0000461477,PRD0902405,0.77,1
CUST0000025448,PRD0902455,2.05,1
CUST0000767888,PRD0902518,2.49,3
CUST0000092839,PRD0902878,2.06,1
CUST0000025448,PRD0903057,2.67,3
CUST0000025448,PRD0903058,1.63,1
CUST0000461477,PRD0903110,0.43,1
CUST0000025448,PRD0903112,4.56,1
CUST0000025448,PRD0903644,1.64,1
CUST0000025448,PRD0903773,0.53,1
CUST0000461477,PRD0903776,1.56,1
CUST0000767888,PRD0903993,1.8,1
CUST0000025448,PRD0904163,2.23,1
CUST0000025448,PRD0904208,0.86,1
CUST0000767888,PRD0904358,1.54,1
CUST0000767888,PRD0904474,0.96,1
CUST0000595333,PRD0904557,0.39,1
CUST0000767888,PRD0904684,2.38,1
CUST0000025448,PRD0904688,1.6,1
CUST0000025448,PRD0904762,1.85,1
CUST0000258555,PRD0904789,1.69,1
CUST0000767888,PRD0903950,2.45,1
CUST0000025448,PRD0904526,1.0,1
CUST0000491694,PRD0900121,0.98,1
CUST0000491694,PRD0900159,1.83,1
CUST0000491694,PRD0900607,2.62,1
CUST0000491694,PRD0901323,1.85,1
CUST0000491694,PRD0902060,2.04,4
CUST0000591215,PRD0902305,1.04,1
CUST0000491694,PRD0902944,2.03,1
CUST0000491694,PRD0903571,1.63,1
CUST0000491694,PRD0903867,1.93,1
CUST0000491694,PRD0904357,0.35,1
CUST0000785583,PRD0900008,5.31,3
CUST0000785583,PRD0900121,0.98,1
CUST0000609675,PRD0900471,0.94,1
CUST0000609675,PRD0900479,0.78,1
CUST0000785583,PRD0900701,1.32,3
CUST0000785583,PRD0901589,0.51,1
CUST0000609675,PRD0902172,0.56,1
CUST0000609675,PRD0902289,2.94,6
CUST0000609675,PRD0902289,2.94,6
CUST0000785583,PRD0902322,0.31,1
CUST0000609675,PRD0902443,0.16,1
CUST0000609675,PRD0902659,0.79,1
CUST0000609675,PRD0902813,0.67,1
CUST0000609675,PRD0902898,4.68,3
CUST0000785583,PRD0903052,0.66,1
CUST0000609675,PRD0903313,4.41,1
CUST0000785583,PRD0903542,0.57,1
CUST0000609675,PRD0903571,1.63,1
CUST0000609675,PRD0903612,0.97,1
CUST0000785583,PRD0903809,0.87,1
CUST0000785583,PRD0903938,0.84,1
CUST0000785583,PRD0904180,0.62,1
CUST0000609675,PRD0904211,1.56,1
CUST0000785583,PRD0904867,0.66,1
CUST0000609675,PRD0901184,2.54,1
CUST0000016087,PRD0900026,1.38,1
CUST0000016087,PRD0900144,2.51,1
CUST0000220115,PRD0900153,1.03,1
CUST0000220115,PRD0900254,0.85,1
CUST0000220115,PRD0900400,1.76,2
CUST0000220115,PRD0900503,0.78,1
CUST0000016087,PRD0900653,1.18,1
CUST0000016087,PRD0900774,1.28,1
CUST0000016087,PRD0900826,3.48,3
CUST0000016087,PRD0900874,1.74,1
CUST0000016087,PRD0900993,8.04,4
CUST0000016087,PRD0901048,0.22,1
CUST0000016087,PRD0901173,1.74,1
CUST0000016087,PRD0901265,2.46,1
CUST0000016087,PRD0901647,2.21,1
CUST0000353677,PRD0901838,2.15,5
CUST0000353677,PRD0901838,2.15,5
CUST0000016087,PRD0901986,7.56,6
CUST0000016087,PRD0902242,0.83,1
CUST0000016087,PRD0902289,1.47,3
CUST0000016087,PRD0902369,7.8,3
CUST0000353677,PRD0902514,3.04,1
CUST0000016087,PRD0902833,1.96,1
CUST0000016087,PRD0902898,4.68,3
CUST0000016087,PRD0902957,4.52,4
CUST0000016087,PRD0903021,0.94,1
CUST0000016087,PRD0903052,0.8,1
CUST0000220115,PRD0903052,0.93,1
CUST0000353677,PRD0903114,1.35,5
CUST0000353677,PRD0903114,1.35,5
CUST0000220115,PRD0903497,1.28,1
CUST0000016087,PRD0903809,2.61,3
CUST0000016087,PRD0903867,1.93,1
CUST0000353677,PRD0904017,0.31,1
CUST0000016087,PRD0904170,2.68,1
CUST0000220115,PRD0904358,1.54,1
CUST0000220115,PRD0904409,1.21,1
CUST0000016087,PRD0904421,2.91,3
CUST0000016087,PRD0904513,4.92,1
CUST0000016087,PRD0904642,15.03,3
CUST0000220115,PRD0904685,25.3,1
CUST0000016087,PRD0904870,1.22,1
CUST0000016087,PRD0904976,1.49,1
CUST0000959210,PRD0900819,1.44,1
